Timestamp,Πότε συνέβη;,Πού συνέβη;,Σύνδεσμος σε βίντεο,Σύντομη περιγραφή,Εγκυρότητα,ID
3/13/2021 20:21:58,,Εδώ,Παντού,Παραπέρα,rejected,1
3/13/2021 21:41:48,11/9/2020,Νέα Σμύρνη,https://www.facebook.com/ThePressProject/videos/183397053309491/,Τάκλιν και κλωτσιά σε πεσμένη κοπέλα,duplicate,2
3/13/2021 22:14:46,3/9/2021,Νέα Σμύρνη ,https://www.facebook.com/erika.kourlampa/videos/3787500147955074,Αστυνομικός βγάζει όπλο ,duplicate,3
3/13/2021 22:17:57,3/8/2021,Πανόρμου,https://www.efsyn.gr/ellada/koinonia/284791_astynomikoi-dielysan-poreia-stin-panormoy-kai-espasan-fanaria-aytokiniton,Αστυνομικοί σπάνε οχήματα στην Πανόρμου ,duplicate,4
3/13/2021 22:29:09,3/9/2021,Νέα Σμύρνη,https://www.youtube.com/watch?v=026ATPW6ihI,"Eπίθεση σε πολίτη με δίκυκλο, άγρια σύλληψη, ξυλοδαρμός πολίτη και παρεμπόδιση δημοσιογράφων",duplicate,5
3/13/2021 22:30:28,3/9/2021,Νέα Σμύρνη,https://www.youtube.com/watch?v=z1o-5zZYRoU,Άγριος ξυλοδαρμός πολίτη που βρισκόταν μέσα σε κατάστημα,duplicate,6
3/13/2021 22:32:51,3/9/2021,Νέα Σμύρνη,https://mobile.twitter.com/Refugees_Gr/status/1369407646302879746,Αστυνομικός βγάζει όπλο,duplicate,7
3/13/2021 23:42:02,3/6/2021,"Παλιά Βουλή, Αθήνα ",https://www.facebook.com/watch/?ref=saved&v=892929511555192,Επιθεσή σε δημοσιαγραφό κατα την σύληψη διαδηλωτή ,duplicate,8
3/14/2021 0:26:42,2/5/2021,Θεσσαλονίκη,https://www.youtube.com/watch?v=zJD9EQXg524,Ξυλοδαρμός διδάκτορα του ΑΠΘ  ,duplicate,9
3/14/2021 0:29:07,2/22/2021,Θεσσαλονίκη ΑΠΘ,https://www.facebook.com/alex.litsardakis/videos/3198479776919567/?t=0,Δακρυγόνα πάνω σε γυμνό φοιτητή συλληφθέντα,duplicate,10
3/14/2021 0:31:53,3/13/2021,Νέα Σμύρνη,https://twitter.com/TasteOfAnarchy/status/1370164613862547456?ref_src=twsrc%5Etfw%7Ctwcamp%5Etweetembed%7Ctwterm%5E1370164613862547456%7Ctwgr%5E%7Ctwcon%5Es1_c10&ref_url=https%3A%2F%2Fwww.real.gr%2Fkoinonia%2Farthro%2Fnea_smyrni_kataggelia_18xronis_gia_ksylodarmo_seksoualiki_parenoxlisi_kai_apeili_biasmou_apo_astynomikous_binteo-721611%2F,"Καταγγελία της Έφης για ξυλοδαρμό, βρίσιμο και απειλή για βιασμό από αστυνομικούς μετά την προσαγωγή της",duplicate,11
3/14/2021 0:38:36,10/9/2020,Μαρούσι,https://www.facebook.com/watch/?v=673459520216880,"Πανεκπαιδευτικό συλλαλητήριο, κυνηγητό αστυνομίας σε μαθητές μέχρι το The Mall Athens και προσαγωγές/συλλήψεις και τραμπουκισμός ανηλίκων.",duplicate,12
3/14/2021 0:59:27,10/18/2019,Ομόνοια,https://www.youtube.com/watch?v=ULxNnIMe4J8,Σύρσιμο γυναίκας με ειδικές ανάγκες έξω από το τμήμα και βρέξιμο της με μάνικα,approved,13
3/14/2021 1:00:49,11/18/2020,Σεπόλια,https://www.youtube.com/watch?v=IyNV2AaepZk,Αστυνομικοί ξυλοκόπησαν οικογένεια,unclear,14
3/14/2021 11:13:14,12/13/0091,,https://docs.google.com/spreadsheets/d/1FJwmDM5Tm9FT3YONUKP89Z4BbALL3oxr3RI87skootU/htmlview,"Είχα ξεκινήσει αυτό το database, φαντάζομαι κάποια θα είναι κοινά ωστόσο το στέλνω για να ενώσουμε τις λίστες",TODO,15
